merchant_reference,date,time_from,time_to,note_glossary_key
MER000001,2024-01-01,,,merchant_weekday_schedule.new_year
MER000001,2024-03-29,,,merchant_weekday_schedule.good_friday
MER000001,2024-04-01,,,merchant_weekday_schedule.easter_monday
MER000001,2024-05-01,,,merchant_weekday_schedule.may_day
MER000001,2024-05-09,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2024-05-20,,,merchant_weekday_schedule.whit_monday
MER000001,2024-05-30,,,merchant_weekday_schedule.corpus_christi
MER000001,2024-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2024-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2024-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2024-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2025-01-01,,,merchant_weekday_schedule.new_year
MER000001,2025-04-18,,,merchant_weekday_schedule.good_friday
MER000001,2025-04-21,,,merchant_weekday_schedule.easter_monday
MER000001,2025-05-01,,,merchant_weekday_schedule.may_day
MER000001,2025-05-29,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2025-06-09,,,merchant_weekday_schedule.whit_monday
MER000001,2025-06-19,,,merchant_weekday_schedule.corpus_christi
MER000001,2025-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2025-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2025-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2025-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2026-01-01,,,merchant_weekday_schedule.new_year
MER000001,2026-04-03,,,merchant_weekday_schedule.good_friday
MER000001,2026-04-06,,,merchant_weekday_schedule.easter_monday
MER000001,2026-05-01,,,merchant_weekday_schedule.may_day
MER000001,2026-05-14,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2026-05-25,,,merchant_weekday_schedule.whit_monday
MER000001,2026-06-04,,,merchant_weekday_schedule.corpus_christi
MER000001,2026-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2026-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2026-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2026-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2027-01-01,,,merchant_weekday_schedule.new_year
MER000001,2027-03-26,,,merchant_weekday_schedule.good_friday
MER000001,2027-03-29,,,merchant_weekday_schedule.easter_monday
MER000001,2027-05-01,,,merchant_weekday_schedule.may_day
MER000001,2027-05-06,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2027-05-17,,,merchant_weekday_schedule.whit_monday
MER000001,2027-05-27,,,merchant_weekday_schedule.corpus_christi
MER000001,2027-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2027-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2027-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2027-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2028-01-01,,,merchant_weekday_schedule.new_year
MER000001,2028-04-14,,,merchant_weekday_schedule.good_friday
MER000001,2028-04-17,,,merchant_weekday_schedule.easter_monday
MER000001,2028-05-01,,,merchant_weekday_schedule.may_day
MER000001,2028-05-25,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2028-06-05,,,merchant_weekday_schedule.whit_monday
MER000001,2028-06-15,,,merchant_weekday_schedule.corpus_christi
MER000001,2028-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2028-11-01,,,merchant_weekday_schedule.all_saints_day
MER000001,2028-12-25,,,merchant_weekday_schedule.1st_christmas_day
MER000001,2028-12-26,,,merchant_weekday_schedule.2nd_christmas_day
MER000001,2029-01-01,,,merchant_weekday_schedule.new_year
MER000001,2029-03-30,,,merchant_weekday_schedule.good_friday
MER000001,2029-04-02,,,merchant_weekday_schedule.easter_monday
MER000001,2029-05-01,,,merchant_weekday_schedule.may_day
MER000001,2029-05-10,,,merchant_weekday_schedule.ascension_of_christ
MER000001,2029-05-21,,,merchant_weekday_schedule.whit_monday
MER000001,2029-05-31,,,merchant_weekday_schedule.corpus_christi
MER000001,2029-10-03,,,merchant_weekday_schedule.day_of_german_unity
MER000001,2029-11-01,,,merchant_weekday_schedule.all_saints_day
