image_set_name,external_url_large,external_url_small,locale,abstract_sku,concrete_sku,sort_order,product_image_key,product_image_set_key
default,https://images.icecat.biz/img/norm/high/25904006-8438.jpg,https://images.icecat.biz/img/norm/medium/25904006-8438.jpg,de_DE,001,,0,product_image_1,
default,https://images.icecat.biz/img/norm/high/25904004-9055.jpg,https://images.icecat.biz/img/norm/medium/25904004-9055.jpg,de_DE,002,,0,product_image_2,
default,https://images.icecat.biz/img/norm/high/26138343-5454.jpg,https://images.icecat.biz/img/norm/medium/26138343-5454.jpg,de_DE,003,,0,product_image_3,
default,https://images.icecat.biz/img/gallery/30663302_6177.jpg,https://images.icecat.biz/img/gallery_mediums/30663302_6177.jpg,de_DE,004,,0,product_image_4,
default,https://images.icecat.biz/img/gallery/30663301_9631.jpg,https://images.icecat.biz/img/gallery_mediums/30663301_9631.jpg,de_DE,005,,0,product_image_5,
default,https://images.icecat.biz/img/gallery/30692993_5119.jpg,https://images.icecat.biz/img/gallery_mediums/30692993_5119.jpg,de_DE,006,,0,product_image_6,
default,https://images.icecat.biz/img/gallery/30691822_1486.jpg,https://images.icecat.biz/img/gallery_mediums/30691822_1486.jpg,de_DE,007,,0,product_image_7,
default,https://images.icecat.biz/img/gallery/30692992_1205.jpg,https://images.icecat.biz/img/gallery_mediums/30692992_1205.jpg,de_DE,008,,0,product_image_8,
default,https://images.icecat.biz/img/gallery_mediums/30692991_6058401644.jpg,https://images.icecat.biz/img/gallery_lows/30692991_6058401644.jpg,de_DE,009,,0,product_image_9,
default,https://images.icecat.biz/img/gallery/30692994_4933.jpg,https://images.icecat.biz/img/gallery_mediums/30692994_4933.jpg,de_DE,010,,0,product_image_10,
default,https://images.icecat.biz/img/gallery_mediums/30663301_9631.jpg,https://images.icecat.biz/img/gallery_lows/30663301_9631.jpg,de_DE,011,,0,product_image_11,
default,https://images.icecat.biz/img/gallery/25904598_3791.jpg,https://images.icecat.biz/img/gallery_mediums/25904598_3791.jpg,de_DE,012,,0,product_image_12,
default,https://images.icecat.biz/img/norm/high/25904584-3409.jpg,https://images.icecat.biz/img/norm/medium/25904584-3409.jpg,de_DE,013,,0,product_image_13,
