product_abstract_sku,store_name
6448856846,DE
6448856846,AT
6448856846,US
3783150965,DE
3783150965,AT
3783150965,US
1680840142,DE
1680840142,AT
1680840142,US
3782459571,DE
3782459571,AT
3782459571,US
4698553407,DE
4698553407,AT
4698553407,US
5955203079,DE
5955203079,AT
5955203079,US
8598775290,DE
8598775290,AT
8598775290,US
0739728180,DE
0739728180,AT
0739728180,US
4252422612,DE
4252422612,AT
4252422612,US
0929359453,DE
0929359453,AT
0929359453,US
9520171770,DE
9520171770,AT
9520171770,US
1782896511,DE
1782896511,AT
1782896511,US
4865622470,DE
4865622470,AT
4865622470,US
8850200447,DE
8850200447,AT
8850200447,US
7520741818,DE
7520741818,AT
7520741818,US
8393747953,DE
8393747953,AT
8393747953,US
1350357251,DE
1350357251,AT
1350357251,US
8864664602,DE
8864664602,AT
8864664602,US
3558586603,DE
3558586603,AT
3558586603,US
7213527282,DE
7213527282,AT
7213527282,US
818742947X,DE
818742947X,AT
818742947X,US
1087811902,DE
1087811902,AT
1087811902,US
3747907334,DE
3747907334,AT
3747907334,US
1131028600,DE
1131028600,AT
1131028600,US
6221330726,DE
6221330726,AT
6221330726,US
6141921418,DE
6141921418,AT
6141921418,US
4292024073,DE
4292024073,AT
4292024073,US
1288949847,DE
1288949847,AT
1288949847,US
1820564568,DE
1820564568,AT
1820564568,US
8301437642,DE
8301437642,AT
8301437642,US
865827585X,DE
865827585X,AT
865827585X,US
7704292986,DE
7704292986,AT
7704292986,US
484241278X,DE
484241278X,AT
484241278X,US
3137733413,DE
3137733413,AT
3137733413,US
4999128942,DE
4999128942,AT
4999128942,US
3730989081,DE
3730989081,AT
3730989081,US
0615839800,DE
0615839800,AT
0615839800,US
1035359278,DE
1035359278,AT
1035359278,US
2600755896,DE
2600755896,AT
2600755896,US
6580410078,DE
6580410078,AT
6580410078,US
5006152516,DE
5006152516,AT
5006152516,US
4208331852,DE
4208331852,AT
4208331852,US
7951200697,DE
7951200697,AT
7951200697,US
3613375419,DE
3613375419,AT
3613375419,US
4521542077,DE
4521542077,AT
4521542077,US
4629066713,DE
4629066713,AT
4629066713,US
0467245738,DE
0467245738,AT
0467245738,US
2053478888,DE
2053478888,AT
2053478888,US
6305977887,DE
6305977887,AT
6305977887,US
0391370588,DE
0391370588,AT
0391370588,US
8736615218,DE
8736615218,AT
8736615218,US
0878194568,DE
0878194568,AT
0878194568,US
7862807553,DE
7862807553,AT
7862807553,US
5417387746,DE
5417387746,AT
5417387746,US
0723887349,DE
0723887349,AT
0723887349,US
3052223682,DE
3052223682,AT
3052223682,US
0809323885,DE
0809323885,AT
0809323885,US
0647632284,DE
0647632284,AT
0647632284,US
6093341232,DE
6093341232,AT
6093341232,US
7082348657,DE
7082348657,AT
7082348657,US
1342307453,DE
1342307453,AT
1342307453,US
1518734286,DE
1518734286,AT
1518734286,US
6144157506,DE
6144157506,AT
6144157506,US
3442108217,DE
3442108217,AT
3442108217,US
8773425850,DE
8773425850,AT
8773425850,US
8033589876,DE
8033589876,AT
8033589876,US
060936491X,DE
060936491X,AT
060936491X,US
7577059110,DE
7577059110,AT
7577059110,US
286149820X,DE
286149820X,AT
286149820X,US
7455824556,DE
7455824556,AT
7455824556,US
4913716409,DE
4913716409,AT
4913716409,US
0312385021,DE
0312385021,AT
0312385021,US
2300138603,DE
2300138603,AT
2300138603,US
7323471893,DE
7323471893,AT
7323471893,US
4837374840,DE
4837374840,AT
4837374840,US
8971183659,DE
8971183659,AT
8971183659,US
2311571567,DE
2311571567,AT
2311571567,US
382867822X,DE
382867822X,AT
382867822X,US
6622161437,DE
6622161437,AT
6622161437,US
6574803454,DE
6574803454,AT
6574803454,US
0673872629,DE
0673872629,AT
0673872629,US
1618772821,DE
1618772821,AT
1618772821,US
5141978931,DE
5141978931,AT
5141978931,US
447648588X,DE
447648588X,AT
447648588X,US
5001990688,DE
5001990688,AT
5001990688,US
6467038355,DE
6467038355,AT
6467038355,US
9698343318,DE
9698343318,AT
9698343318,US
7827793134,DE
7827793134,AT
7827793134,US
0425762831,DE
0425762831,AT
0425762831,US
6217318318,DE
6217318318,AT
6217318318,US
0155341170,DE
0155341170,AT
0155341170,US
7521395638,DE
7521395638,AT
7521395638,US
2373551802,DE
2373551802,AT
2373551802,US
2273322178,DE
2273322178,AT
2273322178,US
2396178040,DE
2396178040,AT
2396178040,US
8363019070,DE
8363019070,AT
8363019070,US
3965981056,DE
3965981056,AT
3965981056,US
5580107323,DE
5580107323,AT
5580107323,US
8745088896,DE
8745088896,AT
8745088896,US
044263725X,DE
044263725X,AT
044263725X,US
9049000355,DE
9049000355,AT
9049000355,US
9627316393,DE
9627316393,AT
9627316393,US
8488401841,DE
8488401841,AT
8488401841,US
6138748905,DE
6138748905,AT
6138748905,US
6502600220,DE
6502600220,AT
6502600220,US
3194701088,DE
3194701088,AT
3194701088,US
1659554519,DE
1659554519,AT
1659554519,US
062782336X,DE
062782336X,AT
062782336X,US
106802920X,DE
106802920X,AT
106802920X,US
1794691472,DE
1794691472,AT
1794691472,US
2700630289,DE
2700630289,AT
2700630289,US
1767760132,DE
1767760132,AT
1767760132,US
5417565725,DE
5417565725,AT
5417565725,US
8727521192,DE
8727521192,AT
8727521192,US
3771715598,DE
3771715598,AT
3771715598,US
1213053102,DE
1213053102,AT
1213053102,US
1364096757,DE
1364096757,AT
1364096757,US
6178414846,DE
6178414846,AT
6178414846,US
5179760135,DE
5179760135,AT
5179760135,US
1480675024,DE
1480675024,AT
1480675024,US
7464985842,DE
7464985842,AT
7464985842,US
5039647026,DE
5039647026,AT
5039647026,US
9216593652,DE
9216593652,AT
9216593652,US
2911836308,DE
2911836308,AT
2911836308,US
9704665741,DE
9704665741,AT
9704665741,US
1327245361,DE
1327245361,AT
1327245361,US
1554626943,DE
1554626943,AT
1554626943,US
6445037054,DE
6445037054,AT
6445037054,US
9505265867,DE
