product_relation_key,store_name
Prk-1,AT
Prk-1,DE
Prk-1,US
Prk-10,AT
Prk-10,DE
Prk-10,US
Prk-100,AT
Prk-100,DE
Prk-100,US
Prk-101,AT
Prk-101,DE
Prk-101,US
Prk-102,AT
Prk-102,DE
Prk-102,US
Prk-103,AT
Prk-103,DE
Prk-103,US
Prk-104,AT
Prk-104,DE
Prk-104,US
Prk-105,AT
Prk-105,DE
Prk-105,US
Prk-106,AT
Prk-106,DE
Prk-106,US
Prk-107,AT
Prk-107,DE
Prk-107,US
Prk-108,AT
Prk-108,DE
Prk-108,US
Prk-109,AT
Prk-109,DE
Prk-109,US
Prk-11,AT
Prk-11,DE
Prk-11,US
Prk-110,AT
Prk-110,DE
Prk-110,US
Prk-111,AT
Prk-111,DE
Prk-111,US
Prk-112,AT
Prk-112,DE
Prk-112,US
Prk-113,AT
Prk-113,DE
Prk-113,US
Prk-114,AT
Prk-114,DE
Prk-114,US
Prk-115,AT
Prk-115,DE
Prk-115,US
Prk-116,AT
Prk-116,DE
Prk-116,US
Prk-117,AT
Prk-117,DE
Prk-117,US
Prk-118,AT
Prk-118,DE
Prk-118,US
Prk-119,AT
Prk-119,DE
Prk-119,US
Prk-12,AT
Prk-12,DE
Prk-12,US
Prk-120,AT
Prk-120,DE
Prk-120,US
Prk-121,AT
Prk-121,DE
Prk-121,US
Prk-122,AT
Prk-122,DE
Prk-122,US
Prk-123,AT
Prk-123,DE
Prk-123,US
Prk-124,AT
Prk-124,DE
Prk-124,US
Prk-125,AT
Prk-125,DE
Prk-125,US
Prk-126,AT
Prk-126,DE
Prk-126,US
Prk-127,AT
Prk-127,DE
Prk-127,US
Prk-128,AT
Prk-128,DE
Prk-128,US
Prk-129,AT
Prk-129,DE
Prk-129,US
Prk-13,AT
Prk-13,DE
Prk-13,US
Prk-130,AT
Prk-130,DE
Prk-130,US
Prk-131,AT
Prk-131,DE
Prk-131,US
Prk-132,AT
Prk-132,DE
Prk-132,US
Prk-133,AT
Prk-133,DE
Prk-133,US
Prk-134,AT
Prk-134,DE
Prk-134,US
Prk-135,AT
Prk-135,DE
Prk-135,US
Prk-136,AT
Prk-136,DE
Prk-136,US
Prk-137,AT
Prk-137,DE
Prk-137,US
Prk-138,AT
Prk-138,DE
Prk-138,US
Prk-139,AT
Prk-139,DE
Prk-139,US
Prk-14,AT
Prk-14,DE
Prk-14,US
Prk-140,AT
Prk-140,DE
Prk-140,US
Prk-141,AT
Prk-141,DE
Prk-141,US
Prk-142,AT
Prk-142,DE
Prk-142,US
Prk-143,AT
