sales_unit_key,store_name
sales_unit_1,DE
sales_unit_2,DE
sales_unit_3,DE
sales_unit_4,DE
sales_unit_5,DE
sales_unit_6,DE
sales_unit_7,DE
sales_unit_8,DE
sales_unit_9,DE
sales_unit_10,DE
sales_unit_11,DE
sales_unit_12,DE
sales_unit_13,DE
sales_unit_14,DE
sales_unit_15,DE
sales_unit_16,DE
sales_unit_17,DE
sales_unit_18,DE
sales_unit_19,DE
sales_unit_20,DE
sales_unit_21,DE
sales_unit_22,DE
sales_unit_23,DE
sales_unit_24,DE
sales_unit_25,DE
sales_unit_fish-kilo,DE
sales_unit_potato-kilo,DE
sales_unit_hdmi-cable-meter-1,DE
sales_unit_hdmi-cable-meter-2,DE
sales_unit_hdmi-cable-centi,DE
sales_unit_vga-cable-meter-1,DE
sales_unit_vga-cable-meter-2,DE
sales_unit_vga-cable-centi,DE
